Station,Parameter_Id,X(m),Y(m),Elevation (m),Total Depth (m),pH,Temp,EC,TDS,Na,K,Ca,Mg ,F,CL,HCO3,NO3,SO4
Dillo Crater,BR-HDW2,356220,471573,775,132,8.32,29.5,5800,4158,900,59.5,83.8,241.4,3.1,850.56,690.03,5.47,1100
Elwaya,BR-HDW3,375912,548302,1276,,7.07,24.4,792,512,42,8.4,83.8,34.6,2.75,44.16,404.1,31.56,32.1
Dubluk Town,BR-HDW4,420549,482197,1463,165,7.54,20.1,474,302,36,21,35.28,10.8,0.8,44.16,111.26,14.5,48
Dubluk Town,BR-HDW5,420501,481774,1453,211,7.47,22.3,2270,1488,200,61,154.35,58.86,1.02,356.16,363.07,39,194
Nyaaru,BR-HDW6,396611,541206,1810,209,7.36,19.6,514,290,24,10.8,58.2,22.7,1.15,12.5,307.44,0.25,3
Hobok,BR-HDW7,306861,483561,822,89,8.59,28.3,847,540,168,14.4,11.5,3.8,1.17,75.8,320.13,4.9,30.7
Arbale-Sayole,BR-HDW8,383545,464667,1059,143,7.08,27.9,729,468,59,4.5,70.6,17.3,1.63,53.8,225.46,0.3,96.12
Arbale/Hulluko,BR-HDW9,383090,465285,1037,139,7.01,28.4,884,575,74,11,78.5,22.1,2.02,63.36,257.66,6.03,104.13
Medhacho Crater,BR-HDW10,417811,461164,1481,212,7.89,18.5,2680,1649,405,34.5,111.1,37.3,0.57,433.9,175.68,11.03,480.6
Kobale,BR-HDW11,397828,540078,1801,200,7.52,21.7,1101,720,52,58.5,109.2,52.25,1.98,95.04,538.75,0.72,29.9
Dharito,BR-HDW12,401786,530290,1755,125,7.42,24.6,459,304,31.5,5.7,50.16,11.88,0.68,31.2,165.6,2.7,41.65
Fallee,BR-HDW13,408739,498642,1610,143,6.75,21.7,397,250,38,8.6,37.8,4.9,0.37,40.6,159.9,0.8,1.5
Fallee,BR-HDW14,406870,502998,1563,150,7.41,22.3,630,416,39,6.5,74.8,17.8,1.09,57.65,260.96,1.01,24
Moyate,BR-HDW15,405056,523933,1674,209,6.69,21.2,455,281,24.5,10,52.8,13.5,0.57,26.46,238.5,0.2,0.8
Harewayu,BR-HDW16,403655,521689,1495,176,6.53,21.2,467,306,27.5,13,61.6,8.64,0.36,26.46,241.3,0.4,5.61
Sunkana-Sarite,BR-HDW17,338474,548500,1380,133,7.18,22.4,600,352,60,3.1,55.4,18.4,0.04,24.6,350.75,0.3,0.53
Dhokole,BR-HDW18,388094,474292,1674,89,6.73,21,452,274,33.5,9.1,41.36,12.42,1.45,33.1,173.97,0.11,28.6
Megado crater,BR-HDW19,412606,431062,733,87,7.1,,9840,7536,1280,300,208,515.16,0.88,1286.9,3733.2,0.9,1269.6
Areri,BR-SP1,387546,544392,1576,67,7.48,23.3,346,210,27,2.6,35.28,12.42,3,16.32,181.5,0.11,4.5
Megado,BR-SP2,417295,433446,1225,89,7.6,22.9,2250,1480,118,31,22.05,218.2,0.2,56.6,1150.7,2.22,223.2
Mega Town,BR-SP3,425317,446907,1596,159,7.48,21.8,1374,879,52,7.6,101.4,87.5,0.45,149.8,459.69,26.2,98
Gololcha-Chorressa,BR-SP4,399530,453659,2214,143,7.2,19.4,144,80,12.5,1.4,12.35,3.24,0,13.44,46.85,3.5,9.08
Arbale,BR-SP5,399580,446563,1302,109,7.9,40.1,438,260,21.5,2.4,49.4,14,0.75,29.76,158.1,0.64,34
Gobso-Bule Dhela,BR-SP6,387650,480489,1750,190,7.34,24.1,240,146,20,1.7,22.93,6.48,1.16,20.16,96.6,0.7,10.81
Maagole,BR-SP7,386330,479034,1958,167,7.18,24.6,231,130,23,1.6,17.6,8.1,3.2,16.32,90.8,0.33,13.1
Gololcha-Harkiso Dambiti,BR-SP8,399790,455433,1818,129,8.1,18.6,692,414,33,6,88.2,18.9,0.63,78.72,187.4,2.45,72
Yaatu-Harewayu,BR-SP9,400331,525416,1777,145,7.33,24.5,257,164,17.5,4.1,30.8,5.4,0,20.79,109.4,0.96,9.08
Dharito,BR-SP10,400605,530501,1706,233,7.15,24.9,299,165,21.5,2.6,36.1,4.86,1.16,22.7,123.46,0.2,12.28
Gerbi-Yabello,BR-SP11,400170,543066,1838,211,6.84,22.8,207,124,18.5,1.6,20.24,5.4,0.33,13.23,106.6,0.64,0.53
Saakee-Megado,BR-SP12,410499,439266,1269,156,7.8,27,819,496,78,15.5,37.8,40.5,1.31,47.3,322.7,0.3,93.45
Megado crater,BR-SP13,413258,431648,1756,14,7.18,,11680,8826,1900,375,240,349.9,1.35,1694,3623.4,0.8,1692
Yabelo1,BR-RF1,400826,540334,1740,90,5.58,,49,26,0.6,1.3,2.76,1.66,0.55,0.91,23.06,1,3.9
Mega1,BR-RF2,424488,449720,1800,45,5.89,,68,38,0.5,3,4.6,2.21,0.58,0.91,38.43,0.85,3.71
yabello2,BR-RF4,404143,539599,1624,67,5.5,,20,12,0.3,0.1,1.84,1.1,0.44,0.91,10.25,0.65,0.29
Mega2,BR-RF5,424488,449720,1800,112,5.89,,23.4,14.1,0.3,0.2,2.82,0.56,,0.91,9.76,0.11,0.19
